country,Deaths_per_100k_Population,Infant_mortality_rate,LifeExp_Male,Percent_HIV-AIDS_Female,Percent_of_pop_over_65,Total_fertility_rate,Maternal_Deaths_1990,INET_USRS_2014
Portugal,10.1,3.0,77.6,,20.3677383066488,1.21,17.0,62.0956
Puerto Rico,8.3,,75.544,,14.1909016017016,1.47,26.0,73.9
Qatar,1.48,7.0,77.349,,1.15116260332909,2.026,29.0,85.3
Romania,12.7,10.1,71.6,,16.927709635584,1.41,124.0,49.7645
Russian Federation,13.1,8.5,65.0,,13.2313586817099,1.7,63.0,67.97
Rwanda,7.053,32.7,61.052,1.3,2.74674241884526,3.898,1300.0,9.0
Samoa,5.368,15.4,70.405,,5.1786598556126,4.086,156.0,15.3
San Marino,7.7,2.7,,,,,,
Sao Tome and Principe,6.923,35.5,64.429,0.2,3.18822380354403,4.576,330.0,23.0
Saudi Arabia,3.4,12.9,73.026,,2.79464731325567,2.765,46.0,60.5
Senegal,6.205,42.3,64.516,0.1,2.95949778896753,5.09,540.0,13.1
Serbia,14.2,6.0,72.9,,16.6255679444585,1.43,14.0,51.5
Seychelles,7.9,11.9,68.4,,6.8302248925606,2.3,,50.4
Sierra Leone,13.573,90.2,50.35,0.4,2.67454046922024,4.626,2630.0,1.7
Singapore,4.7,2.2,80.5,,11.0515662517574,1.25,12.0,81.0
Sint Maarten (Dutch part),,,,,,,,
Slovak Republic,9.5,6.1,73.3,0.1,13.4559598706292,1.34,11.0,77.8826
Slovenia,9.2,2.2,77.3,0.1,17.6083749421607,1.55,12.0,72.6756
Solomon Islands,5.772,24.2,66.523,,3.38307953391555,3.966,364.0,8.0
Somalia,12.035,87.4,53.767,0.2,2.83140524202883,6.463,1210.0,1.5
South Africa,12.461,34.4,55.167,8.1,5.02803328737243,2.363,108.0,46.5
South Sudan,11.587,62.0,54.731,1.3,3.45550870509599,5.022,1730.0,14.1
Spain,8.5,3.6,80.2,,18.4415918160846,1.27,6.0,71.635
Sri Lanka,6.761,8.6,71.507,0.1,8.90503322883257,2.083,75.0,21.9
St. Kitts and Nevis,,8.7,,,,,,64.6
St. Lucia,7.203,13.0,72.401,,8.8823545427319,1.89,45.0,46.2
